StartDate	EndDate	Status	IPAddress	Progress	Duration (in seconds)	Finished	RecordedDate	ResponseId	RecipientLastName	RecipientFirstName	RecipientEmail	ExternalReference	LocationLatitude	LocationLongitude	DistributionChannel	UserLanguage	Q2	Q3	Q4	Q5	Q6	Q8_1	Q8_2	Q8_3	Q8_4	Q8_5	Q8_6	Q8_7	Q8_8	Q8_9	Q8_10	Q8_11	Q8_12	Q8_13	Q8_14	Q8_15	Q9	Q10	Q11	Q12	Q13
{"ImportId":"startDate","timeZone":"America/Denver"}	{"ImportId":"endDate","timeZone":"America/Denver"}	{"ImportId":"status"}	{"ImportId":"ipAddress"}	{"ImportId":"progress"}	{"ImportId":"duration"}	{"ImportId":"finished"}	{"ImportId":"recordedDate","timeZone":"America/Denver"}	{"ImportId":"_recordId"}	{"ImportId":"recipientLastName"}	{"ImportId":"recipientFirstName"}	{"ImportId":"recipientEmail"}	{"ImportId":"externalDataReference"}	{"ImportId":"locationLatitude"}	{"ImportId":"locationLongitude"}	{"ImportId":"distributionChannel"}	{"ImportId":"userLanguage"}	{"ImportId":"QID133"}	{"ImportId":"QID111"}	{"ImportId":"QID113"}	{"ImportId":"QID112"}	{"ImportId":"QID114"}	{"ImportId":"QID110_30"}	{"ImportId":"QID110_31"}	{"ImportId":"QID110_32"}	{"ImportId":"QID110_33"}	{"ImportId":"QID110_44"}	{"ImportId":"QID110_34"}	{"ImportId":"QID110_35"}	{"ImportId":"QID110_36"}	{"ImportId":"QID110_37"}	{"ImportId":"QID110_38"}	{"ImportId":"QID110_39"}	{"ImportId":"QID110_40"}	{"ImportId":"QID110_41"}	{"ImportId":"QID110_42"}	{"ImportId":"QID110_43"}	{"ImportId":"QID172807689_TEXT"}	{"ImportId":"QID129_TEXT"}	{"ImportId":"QID106_TEXT"}	{"ImportId":"QID123_TEXT"}	{"ImportId":"QID128_TEXT"}
2/17/22 17:08	2/17/22 17:13	IP Address	174.198.130.28	100	332	TRUE	2/17/22 17:13	R_2WuOEZJx0FFsLeM					39.71890259	-104.8916016	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	They go over topics thoroughly, are available for questions, and have a supportive attitude.	I don't really have any problems, they are a really great TA.			No
2/17/22 18:00	2/17/22 18:02	IP Address	128.138.65.231	100	137	TRUE	2/17/22 18:02	R_3M5whJVYLGLZlc8					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	He seems chill	He’s doing fine	N/A	N/A	N/A
2/17/22 18:45	2/17/22 18:47	IP Address	107.126.24.15	100	170	TRUE	2/17/22 18:47	R_1hQPh09wizbCX5a					37.75100708	-97.8219986	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	CS Major	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Neither Agree nor Disagree	Neither Agree nor Disagree	Strongly Agree	Strongly Agree	Strongly Agree	Really welcoming and helpful	None		NAa	Na
2/17/22 21:58	2/17/22 22:05	IP Address	128.138.65.181	100	380	TRUE	2/17/22 22:05	R_1FKsoYl7Y9FrrpW					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	No	Sophmore	Topic is useful for my career	Strongly Agree	Strongly Agree	Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	his way of teaching by letting us think and work on a question then explain to us how to do it together in class	he is awesome			la is very good
2/18/22 3:53	2/18/22 3:56	IP Address	128.138.65.207	100	196	TRUE	2/18/22 3:56	R_10IBraGCqbbjOTn					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Disagree	Strongly Disagree	Neither Agree nor Disagree	Disagree		Neither Agree nor Disagree	Agree	Strongly Disagree	Disagree	Disagree	Neither Agree nor Disagree		Disagree	Strongly Disagree	Strongly Disagree	he's respectful of all students 	have more time for answering questions 	N/A	N/A	N/A
2/18/22 10:11	2/18/22 10:13	IP Address	128.138.65.75	100	96	TRUE	2/18/22 10:13	R_2BzlfMYgPgOCmi5					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Sophmore	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Spend more time showing examples rather than going over slides, hard to follow.			n/a
2/18/22 12:00	2/18/22 12:03	IP Address	107.77.196.10	100	219	TRUE	2/18/22 12:03	R_2tgmAfVmKOw1UAc					32.7796936	-96.80220032	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	CS Minor	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	I’ve stopped going to class because I learn all that I need to in recitation, and I don’t find the instruction in class valuable at all. My TA does a really good job of teaching necessary topics quickly and in an easy-to-learn way.	I don’t really have any criticisms for the TA, he does a really good job of everything	Not really applicable 	Not applicable	N/a
2/18/22 16:42	2/18/22 23:20	IP Address	128.138.65.211	100	23831	TRUE	2/18/22 23:20	R_3n0r026E4O3Azsr					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Female	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	They are enthusiastic, and I like the way they break down concepts in recitation so that it is easy to understand during the slideshow they make for recitation. They are willing to answer questions, and they make recitation interesting. I also notice that they are active in Ed, always answering questions, and I appreciate that. 	Honestly, I can't think of anything they should do better. They're a great TA. 			N/A
2/22/22 11:04	2/22/22 11:08	IP Address	128.138.65.111	100	260	TRUE	2/22/22 11:08	R_3PoXAU5J4IinQ4V					40.01280212	-105.2759018	anonymous	EN	1300 - Alex Ray	Male	Yes	Freshman	Fulfilling a requirement outside of CS	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree		Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	Strongly Agree	His understanding of the subject.	If I had Alex as my professor and went to recitation three times a week instead of lecture I would enjoy it much better.	N/A	N/A	Treat recitation like a lecture where you balance students working together on handout work, presenting and reviewing ideas, and taking questions.
